BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:01.443,00:00:02.646,1.443,2.646,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:03.848,00:00:05.051,3.848,5.051,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:05.051,00:00:09.862,5.051,9.862,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','ONE'
00:00:12.989,00:00:14.192,12.989,14.192,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:15.395,00:00:16.597,15.395,16.597,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:16.597,00:00:20.927,16.597,20.927,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','TWO'
00:00:23.573,00:00:24.776,23.573,24.776,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:25.979,00:00:27.181,25.979,27.181,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:27.181,00:00:31.511,27.181,31.511,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
