BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.165,00:00:03.367,2.165,3.367,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','F'
00:00:04.570,00:00:05.773,4.570,5.773,3,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','T'
00:00:05.773,00:00:17.078,5.773,17.078,2,'NADL/V1_CF.ogg','NADL/V1_CF.ogg','ONE'
00:00:30.308,00:00:31.511,30.308,31.511,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','T'
00:00:32.714,00:00:33.917,32.714,33.917,3,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','F'
00:00:33.917,00:00:42.095,33.917,42.095,2,'NADL/V1_AF.ogg','NADL/V1_AF.ogg','TWO'
00:01:09.517,00:01:10.720,69.517,70.720,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:01:11.682,00:01:13.125,71.682,73.125,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:01:13.125,00:01:23.709,73.125,83.709,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','ONE'
