BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:03.848,00:00:04.811,3.848,4.811,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:06.013,00:00:07.216,6.013,7.216,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:07.216,00:00:10.103,7.216,10.103,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:00:16.116,00:00:17.078,16.116,17.078,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:18.281,00:00:19.484,18.281,19.484,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:19.484,00:00:25.016,19.484,25.016,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','ONE'
00:00:27.181,00:00:28.625,27.181,28.625,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:29.587,00:00:30.789,29.587,30.789,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
