BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:05.532,00:00:06.735,5.532,6.735,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:07.697,00:00:09.140,7.697,9.140,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:09.140,00:00:13.470,9.140,13.470,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
00:00:53.160,00:00:54.363,53.160,54.363,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:55.325,00:00:56.528,55.325,56.528,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:56.528,00:00:58.452,56.528,58.452,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
00:01:13.366,00:01:14.328,73.366,74.328,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:01:15.531,00:01:16.734,75.531,76.734,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:01:16.734,00:01:27.318,76.734,87.318,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
