BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:13.711,00:00:14.673,13.711,14.673,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','F'
00:00:15.876,00:00:17.078,15.876,17.078,3,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','T'
00:00:17.078,00:00:21.408,17.078,21.408,2,'NADL/V1_BF.ogg','NADL/V1_BF.ogg','TWO'
00:01:14.569,00:01:15.771,74.569,75.771,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','T'
00:01:16.734,00:01:18.177,76.734,78.177,3,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','F'
00:01:18.177,00:01:27.558,78.177,87.558,2,'NADL/V1_DF.ogg','NADL/V1_DF.ogg','TWO'
