BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.886,00:00:04.089,2.886,4.089,3,'NADL/V4-Q2F.ogg','NADL/V4-Q2F.ogg','T'
00:00:05.292,00:00:06.494,5.292,6.494,3,'NADL/V4-Q2F.ogg','NADL/V4-Q2F.ogg','F'
00:00:06.494,00:00:16.597,6.494,16.597,2,'NADL/V4-Q2F.ogg','NADL/V4-Q2F.ogg','TWO'
00:00:20.446,00:00:21.889,20.446,21.889,3,'NADL/V4-C2F.ogg','NADL/V4-C2F.ogg','F'
00:00:22.851,00:00:24.295,22.851,24.295,3,'NADL/V4-C2F.ogg','NADL/V4-C2F.ogg','T'
00:00:24.295,00:00:30.789,24.295,30.789,2,'NADL/V4-C2F.ogg','NADL/V4-C2F.ogg','ONE'
00:00:33.676,00:00:34.879,33.676,34.879,3,'NADL/V4-A2F.ogg','NADL/V4-A2F.ogg','T'
00:00:36.081,00:00:37.284,36.081,37.284,3,'NADL/V4-A2F.ogg','NADL/V4-A2F.ogg','F'
00:00:37.525,00:00:50.033,37.525,50.033,2,'NADL/V4-A2F.ogg','NADL/V4-A2F.ogg','TWO'
00:00:51.957,00:00:53.401,51.957,53.401,3,'NADL/V4-D2F.ogg','NADL/V4-D2F.ogg','F'
00:00:54.363,00:00:55.806,54.363,55.806,3,'NADL/V4-D2F.ogg','NADL/V4-D2F.ogg','T'
00:00:55.806,00:00:59.895,55.806,59.895,2,'NADL/V4-D2F.ogg','NADL/V4-D2F.ogg','TWO'
00:01:02.782,00:01:03.985,62.782,63.985,3,'NADL/V4-H2F.ogg','NADL/V4-H2F.ogg','T'
00:01:05.187,00:01:06.631,65.187,66.631,3,'NADL/V4-H2F.ogg','NADL/V4-H2F.ogg','F'
00:01:06.631,00:01:15.771,66.631,75.771,2,'NADL/V4-H2F.ogg','NADL/V4-H2F.ogg','TWO'
00:01:18.417,00:01:19.861,78.417,79.861,3,'NADL/V4-L2F.ogg','NADL/V4-L2F.ogg','F'
00:01:20.823,00:01:22.266,80.823,82.266,3,'NADL/V4-L2F.ogg','NADL/V4-L2F.ogg','T'
00:01:22.266,00:01:28.761,82.266,88.761,2,'NADL/V4-L2F.ogg','NADL/V4-L2F.ogg','ONE'
00:01:31.647,00:01:33.091,91.647,93.091,3,'NADL/V4-K2F.ogg','NADL/V4-K2F.ogg','F'
00:01:34.053,00:01:35.496,94.053,95.496,3,'NADL/V4-K2F.ogg','NADL/V4-K2F.ogg','T'
00:01:35.496,00:01:40.307,95.496,100.307,2,'NADL/V4-K2F.ogg','NADL/V4-K2F.ogg','ONE'
00:01:43.194,00:01:44.396,103.194,104.396,3,'NADL/V4-R2F.ogg','NADL/V4-R2F.ogg','T'
00:01:45.599,00:01:47.042,105.599,107.042,3,'NADL/V4-R2F.ogg','NADL/V4-R2F.ogg','F'
00:01:47.042,00:01:51.613,107.042,111.613,2,'NADL/V4-R2F.ogg','NADL/V4-R2F.ogg','TWO'
00:01:54.499,00:01:55.943,114.499,115.943,3,'NADL/V4-P2F.ogg','NADL/V4-P2F.ogg','F'
00:01:56.905,00:01:58.107,116.905,118.107,3,'NADL/V4-P2F.ogg','NADL/V4-P2F.ogg','T'
00:01:58.107,00:02:05.324,118.107,125.324,2,'NADL/V4-P2F.ogg','NADL/V4-P2F.ogg','TWO'
00:02:08.210,00:02:09.413,128.210,129.413,3,'NADL/V4-M2F.ogg','NADL/V4-M2F.ogg','T'
00:02:10.375,00:02:11.819,130.375,131.819,3,'NADL/V4-M2F.ogg','NADL/V4-M2F.ogg','F'
00:02:11.819,00:02:15.908,131.819,135.908,2,'NADL/V4-M2F.ogg','NADL/V4-M2F.ogg','ONE'
00:02:18.794,00:02:19.997,138.794,139.997,3,'NADL/V4-E2F.ogg','NADL/V4-E2F.ogg','T'
00:02:21.200,00:02:22.643,141.200,142.643,3,'NADL/V4-E2F.ogg','NADL/V4-E2F.ogg','F'
00:02:22.643,00:02:30.341,142.643,150.341,2,'NADL/V4-E2F.ogg','NADL/V4-E2F.ogg','TWO'
00:02:32.265,00:02:33.708,152.265,153.708,3,'NADL/V4-J2F.ogg','NADL/V4-J2F.ogg','F'
00:02:34.670,00:02:36.114,154.670,156.114,3,'NADL/V4-J2F.ogg','NADL/V4-J2F.ogg','T'
00:02:36.114,00:02:42.368,156.114,162.368,2,'NADL/V4-J2F.ogg','NADL/V4-J2F.ogg','TWO'
00:02:44.292,00:02:45.735,164.292,165.735,3,'NADL/V4-O2F.ogg','NADL/V4-O2F.ogg','F'
00:02:46.698,00:02:48.141,166.698,168.141,3,'NADL/V4-O2F.ogg','NADL/V4-O2F.ogg','T'
00:02:48.141,00:02:54.155,168.141,174.155,2,'NADL/V4-O2F.ogg','NADL/V4-O2F.ogg','TWO'
00:02:57.041,00:02:58.484,177.041,178.484,3,'NADL/V4-B2F.ogg','NADL/V4-B2F.ogg','F'
00:02:59.687,00:03:01.130,179.687,181.130,3,'NADL/V4-B2F.ogg','NADL/V4-B2F.ogg','T'
00:03:01.130,00:03:07.144,181.130,187.144,2,'NADL/V4-B2F.ogg','NADL/V4-B2F.ogg','TWO'
00:03:10.031,00:03:11.474,190.031,191.474,3,'NADL/V4-F2F.ogg','NADL/V4-F2F.ogg','F'
00:03:12.677,00:03:13.879,192.677,193.879,3,'NADL/V4-F2F.ogg','NADL/V4-F2F.ogg','T'
00:03:13.879,00:03:19.652,193.879,199.652,2,'NADL/V4-F2F.ogg','NADL/V4-F2F.ogg','TWO'
00:03:21.577,00:03:23.020,201.577,203.020,3,'NADL/V4-I2F.ogg','NADL/V4-I2F.ogg','T'
00:03:24.223,00:03:25.425,204.223,205.425,3,'NADL/V4-I2F.ogg','NADL/V4-I2F.ogg','F'
00:03:25.425,00:03:30.958,205.425,210.958,2,'NADL/V4-I2F.ogg','NADL/V4-I2F.ogg','TWO'
00:03:33.845,00:03:35.288,213.845,215.288,3,'NADL/V4-N2F.ogg','NADL/V4-N2F.ogg','T'
