BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.646,00:00:03.848,2.646,3.848,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:04.811,00:00:06.013,4.811,6.013,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:06.013,00:00:13.711,6.013,13.711,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
00:00:21.168,00:00:22.370,21.168,22.370,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:23.333,00:00:24.535,23.333,24.535,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:24.535,00:00:26.941,24.535,26.941,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','TWO'
00:00:57.731,00:00:58.933,57.731,58.933,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:59.895,00:01:01.098,59.895,61.098,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:01:01.098,00:01:04.225,61.098,64.225,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','TWO'
