BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.405,00:00:03.608,2.405,3.608,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','F'
00:00:04.811,00:00:06.013,4.811,6.013,3,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','T'
00:00:06.013,00:00:09.862,6.013,9.862,2,'NADL/V3_CF.ogg','NADL/V3_CF.ogg','TWO'
00:00:12.027,00:00:13.230,12.027,13.230,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:14.432,00:00:15.635,14.432,15.635,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:15.635,00:00:21.649,15.635,21.649,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
00:00:37.044,00:00:38.246,37.044,38.246,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','T'
00:00:39.209,00:00:40.411,39.209,40.411,3,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','F'
00:00:40.411,00:00:44.982,40.411,44.982,2,'NADL/V3_BF.ogg','NADL/V3_BF.ogg','ONE'
