BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:19.965,00:00:21.408,19.965,21.408,3,'NADL/V2-I1F.ogg','NADL/V2-I1F.ogg','F'
00:00:22.370,00:00:23.814,22.370,23.814,3,'NADL/V2-I1F.ogg','NADL/V2-I1F.ogg','T'
00:00:23.814,00:00:36.081,23.814,36.081,2,'NADL/V2-I1F.ogg','NADL/V2-I1F.ogg','TWO'
00:00:43.057,00:00:44.260,43.057,44.260,3,'NADL/V2-R1F.ogg','NADL/V2-R1F.ogg','T'
00:00:45.463,00:00:46.906,45.463,46.906,3,'NADL/V2-R1F.ogg','NADL/V2-R1F.ogg','F'
00:00:46.906,00:00:52.679,46.906,52.679,2,'NADL/V2-R1F.ogg','NADL/V2-R1F.ogg','ONE'
00:00:56.768,00:00:58.212,56.768,58.212,3,'NADL/V2-B1F.ogg','NADL/V2-B1F.ogg','T'
00:00:59.174,00:01:00.617,59.174,60.617,3,'NADL/V2-B1F.ogg','NADL/V2-B1F.ogg','F'
00:01:00.617,00:01:06.390,60.617,66.390,2,'NADL/V2-B1F.ogg','NADL/V2-B1F.ogg','ONE'
00:01:13.366,00:01:14.569,73.366,74.569,3,'NADL/V2-F1F.ogg','NADL/V2-F1F.ogg','F'
00:01:15.771,00:01:17.215,75.771,77.215,3,'NADL/V2-F1F.ogg','NADL/V2-F1F.ogg','T'
00:01:17.215,00:01:23.950,77.215,83.950,2,'NADL/V2-F1F.ogg','NADL/V2-F1F.ogg','TWO'
00:01:26.837,00:01:28.039,86.837,88.039,3,'NADL/V2-H1F.ogg','NADL/V2-H1F.ogg','T'
00:01:29.242,00:01:30.685,89.242,90.685,3,'NADL/V2-H1F.ogg','NADL/V2-H1F.ogg','F'
00:01:30.685,00:01:41.269,90.685,101.269,2,'NADL/V2-H1F.ogg','NADL/V2-H1F.ogg','TWO'
00:01:43.675,00:01:45.118,103.675,105.118,3,'NADL/V2-D1F.ogg','NADL/V2-D1F.ogg','F'
