experiment,version,participant,item.pair,correct.bin,pair.order,response.type,response.num,response.dur,response.start,true.dur,true.start,foil.dur,foil.start,true.type,true.structure,true.pos1,true.pos2,true.pos3,true.RFname,phase,foil.type,foil.structure,foil.pos1,foil.pos2,foil.pos3,foil.RFname,language_mother,language_father,age,sex,grade,notes,education,test.type,competitor.type
1,1,8,C,0,true-foil,foil,2,6.736000000000018,247.761,1.2019999999999982,243.913,1.4429999999999836,246.318,word,AXB,A3,X2,B3,A3_X2_B3.wav,segmentation,partword,XCA,X3,B3,A3,X3_B3_A3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,D,0,foil-true,foil,1,4.57,36.563,1.4440000000000026,35.119,1.203000000000003,32.714,word,AXB,A2,X3,B2,A2_X3_B2.wav,segmentation,partword,XCA,X2,B2,A1,X2_B2_A1.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,E,0,true-foil,foil,2,15.876,13.711,1.202,10.103,1.2030000000000012,12.508,word,AXB,A1,X2,B1,A1_X2_B1.wav,segmentation,partword,XCA,X2,B1,A2,X2_B1_A2.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,F,0,true-foil,foil,2,7.697999999999993,93.331,1.203000000000003,89.723,1.4429999999999978,91.888,word,AXB,A2,X2,B2,A2_X2_B2.wav,segmentation,partword,XCA,X1,B2,A3,X1_B2_A3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,G,0,true-foil,foil,2,6.494,148.657,1.443000000000012,144.808,1.4440000000000168,147.213,word,AXB,A3,X1,B3,A3_X1_B3.wav,segmentation,partword,CAX,B1,A3,X3,B1_A3_X3.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,H,1,foil-true,true,2,3.1270000000000095,236.696,1.443000000000012,235.253,1.4429999999999836,232.848,word,AXB,A1,X3,B1,A1_X3_B1.wav,segmentation,partword,CAX,B2,A1,X1,B2_A1_X1.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,I,0,true-foil,foil,2,5.772999999999996,77.936,1.443000000000012,74.088,1.443000000000012,76.493,word,AXB,A3,X3,B3,A3_X3_B3.wav,segmentation,partword,XCA,X1,B3,A2,X1_B3_A2.wav,YD,YD,22,F,8,NA,secondary,SEG,part-word
1,1,8,J,0,true-foil,foil,2,9.621999999999986,133.262,1.203000000000003,129.413,1.443000000000012,131.819,ruleword,AXB,A3,X5,B3,A3_X5_B3.wav,generalization,partword,NCA,X5,B3,A3,X5_B3_A3.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,K,0,true-foil,foil,2,5.052000000000021,182.814,1.4439999999999884,178.965,1.4429999999999836,181.371,ruleword,AXB,A2,X4,B2,A2_X4_B2.wav,generalization,partword,XNA,X1,X4,A2,X1_X4_A2.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,L,0,true-foil,foil,2,4.088999999999999,171.749,1.4439999999999884,167.9,1.4429999999999836,170.306,ruleword,AXB,A3,X6,B3,A3_X6_B3.wav,generalization,partword,XNA,X3,X6,A3,X3_X6_A3.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,M,1,foil-true,true,2,12.268,59.655,1.203000000000003,58.452,1.2020000000000053,56.047,ruleword,AXB,A1,X6,B1,A1_X6_B1.wav,generalization,partword,CAN,B1,A1,X6,B1_A1_X6.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,N,0,true-foil,foil,2,6.253999999999991,224.429,1.203000000000003,220.82,1.203000000000003,223.226,ruleword,AXB,A1,X4,B1,A1_X4_B1.wav,generalization,partword,NCA,X4,B1,A1,X4_B1_A1.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,O,1,foil-true,true,2,8.177999999999997,194.12,1.443000000000012,192.677,1.203000000000003,190.271,ruleword,AXB,A2,X5,B2,A2_X5_B2.wav,generalization,partword,CAN,B2,A2,X5,B2_A2_X5.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,P,1,foil-true,true,2,4.570000000000022,161.165,1.4429999999999836,159.722,1.203000000000003,157.316,ruleword,AXB,A3,X4,B3,A3_X4_B3.wav,generalization,partword,CAN,B3,A3,X4,B3_A3_X4.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,Q,1,true-foil,true,1,4.57,48.109,1.203000000000003,44.26,1.4440000000000026,46.665,ruleword,AXB,A1,X5,B1,A1_X5_B1.wav,generalization,partword,XNA,X2,X5,A1,X2_X5_A1.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,8,R,0,true-foil,foil,2,9.62100000000001,108.005,1.4429999999999978,104.156,1.4439999999999884,106.561,ruleword,AXB,A2,X6,B2,A2_X6_B2.wav,generalization,partword,NCA,X6,B2,A2,X6_B2_A2.wav,YD,YD,22,F,8,NA,secondary,GEN,part-word
1,1,11,A,0,true-foil,foil,2,1.2019999999999982,53.401,1.203000000000003,49.552,1.203000000000003,52.198,word,AXB,A1,X1,B1,A1_X1_B1.wav,segmentation,partword,CAX,B3,A1,X3,B3_A1_X3.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
