BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:02.165,00:00:03.367,2.165,3.367,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','F'
00:00:04.570,00:00:05.773,4.570,5.773,3,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','T'
00:00:05.773,00:00:11.546,5.773,11.546,2,'NADL/V3_DF.ogg','NADL/V3_DF.ogg','ONE'
00:00:54.603,00:00:55.806,54.603,55.806,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','T'
00:00:57.009,00:00:58.212,57.009,58.212,3,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','F'
00:00:58.212,00:01:05.669,58.212,65.669,2,'NADL/V3_AF.ogg','NADL/V3_AF.ogg','TWO'
