BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
00:00:04.329,00:00:05.532,4.329,5.532,3,'NADL/V1-D1F.ogg','NADL/V1-D1F.ogg','F'
00:00:06.735,00:00:08.178,6.735,8.178,3,'NADL/V1-D1F.ogg','NADL/V1-D1F.ogg','T'
00:00:08.178,00:00:46.906,8.178,46.906,2,'NADL/V1-D1F.ogg','NADL/V1-D1F.ogg','ONE'
00:00:55.566,00:00:56.768,55.566,56.768,3,'NADL/V1-E1F.ogg','NADL/V1-E1F.ogg','T'
00:00:57.731,00:00:59.174,57.731,59.174,3,'NADL/V1-E1F.ogg','NADL/V1-E1F.ogg','F'
00:00:59.174,00:01:43.434,59.174,103.434,2,'NADL/V1-E1F.ogg','NADL/V1-E1F.ogg','ONE'
00:01:47.042,00:01:48.486,107.042,108.486,3,'NADL/V1-H1F.ogg','NADL/V1-H1F.ogg','F'
00:01:49.448,00:01:50.891,109.448,110.891,3,'NADL/V1-H1F.ogg','NADL/V1-H1F.ogg','T'
00:01:50.891,00:01:57.145,110.891,117.145,2,'NADL/V1-H1F.ogg','NADL/V1-H1F.ogg','ONE'
00:02:10.135,00:02:11.337,130.135,131.337,3,'NADL/V1-P1F.ogg','NADL/V1-P1F.ogg','T'
00:02:12.300,00:02:13.743,132.300,133.743,3,'NADL/V1-P1F.ogg','NADL/V1-P1F.ogg','F'
00:02:13.743,00:02:36.354,133.743,156.354,2,'NADL/V1-P1F.ogg','NADL/V1-P1F.ogg','TWO'
00:02:42.608,00:02:44.052,162.608,164.052,3,'NADL/V1-J1F.ogg','NADL/V1-J1F.ogg','T'
00:02:45.014,00:02:46.457,165.014,166.457,3,'NADL/V1-J1F.ogg','NADL/V1-J1F.ogg','F'
00:02:46.457,00:03:24.704,166.457,204.704,2,'NADL/V1-J1F.ogg','NADL/V1-J1F.ogg','TWO'
00:03:29.515,00:03:30.717,209.515,210.717,3,'NADL/V1-O1F.ogg','NADL/V1-O1F.ogg','F'
00:03:31.920,00:03:33.363,211.920,213.363,3,'NADL/V1-O1F.ogg','NADL/V1-O1F.ogg','T'
00:03:33.363,00:03:54.772,213.363,234.772,2,'NADL/V1-O1F.ogg','NADL/V1-O1F.ogg','ONE'
00:03:59.823,00:04:01.026,239.823,241.026,3,'NADL/V1-L1F.ogg','NADL/V1-L1F.ogg','F'
00:04:01.988,00:04:03.432,241.988,243.432,3,'NADL/V1-L1F.ogg','NADL/V1-L1F.ogg','T'
00:04:03.432,00:04:35.424,243.432,275.424,2,'NADL/V1-L1F.ogg','NADL/V1-L1F.ogg','ONE'
00:04:39.513,00:04:40.957,279.513,280.957,3,'NADL/V1-F1F.ogg','NADL/V1-F1F.ogg','F'
00:04:42.159,00:04:43.362,282.159,283.362,3,'NADL/V1-F1F.ogg','NADL/V1-F1F.ogg','T'
00:04:43.362,00:05:12.228,283.362,312.228,2,'NADL/V1-F1F.ogg','NADL/V1-F1F.ogg','TWO'
00:05:19.685,00:05:21.128,319.685,321.128,3,'NADL/V1-A1F.ogg','NADL/V1-A1F.ogg','F'
00:05:22.090,00:05:23.533,322.090,323.533,3,'NADL/V1-A1F.ogg','NADL/V1-A1F.ogg','T'
00:05:23.533,00:06:00.818,323.533,360.818,2,'NADL/V1-A1F.ogg','NADL/V1-A1F.ogg','ONE'
00:06:04.907,00:06:06.110,364.907,366.110,3,'NADL/V1-M1F.ogg','NADL/V1-M1F.ogg','F'
00:06:07.313,00:06:08.756,367.313,368.756,3,'NADL/V1-M1F.ogg','NADL/V1-M1F.ogg','T'
00:06:08.756,00:06:22.948,368.756,382.948,2,'NADL/V1-M1F.ogg','NADL/V1-M1F.ogg','TWO'
00:06:30.405,00:06:31.608,390.405,391.608,3,'NADL/V1-G1F.ogg','NADL/V1-G1F.ogg','F'
00:06:32.570,00:06:34.013,392.570,394.013,3,'NADL/V1-G1F.ogg','NADL/V1-G1F.ogg','T'
00:06:34.013,00:06:49.649,394.013,409.649,2,'NADL/V1-G1F.ogg','NADL/V1-G1F.ogg','TWO'
00:06:52.535,00:06:53.738,412.535,413.738,3,'NADL/V1-B1F.ogg','NADL/V1-B1F.ogg','F'
00:06:54.941,00:06:56.384,414.941,416.384,3,'NADL/V1-B1F.ogg','NADL/V1-B1F.ogg','T'
00:06:56.384,00:07:25.971,416.384,445.971,2,'NADL/V1-B1F.ogg','NADL/V1-B1F.ogg','ONE'
00:07:37.277,00:07:38.479,457.277,458.479,3,'NADL/V1-C1F.ogg','NADL/V1-C1F.ogg','F'
00:07:39.682,00:07:41.125,459.682,461.125,3,'NADL/V1-C1F.ogg','NADL/V1-C1F.ogg','T'
00:07:41.125,00:08:02.293,461.125,482.293,2,'NADL/V1-C1F.ogg','NADL/V1-C1F.ogg','TWO'
00:08:08.307,00:08:09.510,488.307,489.510,3,'NADL/V1-K1F.ogg','NADL/V1-K1F.ogg','F'
00:08:10.712,00:08:12.156,490.712,492.156,3,'NADL/V1-K1F.ogg','NADL/V1-K1F.ogg','T'
00:08:12.156,00:08:53.529,492.156,533.529,2,'NADL/V1-K1F.ogg','NADL/V1-K1F.ogg','ONE'
00:08:56.897,00:08:58.100,536.897,538.100,3,'NADL/V1-I1F.ogg','NADL/V1-I1F.ogg','T'
00:08:59.303,00:09:00.746,539.303,540.746,3,'NADL/V1-I1F.ogg','NADL/V1-I1F.ogg','F'
00:09:00.746,00:09:14.697,540.746,554.697,2,'NADL/V1-I1F.ogg','NADL/V1-I1F.ogg','TWO'
00:09:19.989,00:09:21.192,559.989,561.192,3,'NADL/V1-Q1F.ogg','NADL/V1-Q1F.ogg','T'
00:09:22.395,00:09:23.598,562.395,563.598,3,'NADL/V1-Q1F.ogg','NADL/V1-Q1F.ogg','F'
00:09:23.838,00:09:35.865,563.838,575.865,2,'NADL/V1-Q1F.ogg','NADL/V1-Q1F.ogg','ONE'
00:09:39.474,00:09:40.917,579.474,580.917,3,'NADL/V1-N1F.ogg','NADL/V1-N1F.ogg','F'
00:09:41.879,00:09:43.322,581.879,583.322,3,'NADL/V1-N1F.ogg','NADL/V1-N1F.ogg','T'
00:09:43.322,00:09:53.906,583.322,593.906,2,'NADL/V1-N1F.ogg','NADL/V1-N1F.ogg','TWO'
00:09:57.515,00:09:58.717,597.515,598.717,3,'NADL/V1-R1F.ogg','NADL/V1-R1F.ogg','F'
00:09:59.920,00:10:01.363,599.920,601.363,3,'NADL/V1-R1F.ogg','NADL/V1-R1F.ogg','T'
00:10:01.363,00:10:14.112,601.363,614.112,2,'NADL/V1-R1F.ogg','NADL/V1-R1F.ogg','TWO'
